freq,intensity
2622.4739,0.85703
2622.7151,0.85834
2622.9561,0.8597
2623.197,0.86098
2623.4382,0.86207
2623.6792,0.86296
2623.9204,0.86378
2624.1614,0.86453
2624.4023,0.86515
2624.6436,0.86554
2624.8845,0.8657
2625.1255,0.86589
2625.3667,0.86634
2625.6077,0.86716
2625.8489,0.86814
2626.0898,0.86888
2626.3308,0.86919
2626.572,0.86912
2626.813,0.86895
2627.054,0.86896
2627.2952,0.86918
2627.5361,0.86945
2627.7773,0.86963
2628.0183,0.86973
2628.2593,0.86989
2628.5005,0.87016
2628.7415,0.87038
2628.9824,0.87037
2629.2236,0.87009
2629.4646,0.86979
2629.7058,0.86983
2629.9468,0.87035
2630.1877,0.87114
2630.429,0.87176
2630.6699,0.87189
2630.9109,0.87153
2631.1521,0.87096
2631.3931,0.87048
2631.6343,0.87027
2631.8752,0.87026
2632.1162,0.87039
2632.3574,0.87057
2632.5984,0.87076
2632.8394,0.87092
2633.0806,0.87098
2633.3215,0.87099
2633.5627,0.87104
2633.8037,0.87121
2634.0447,0.87148
2634.2859,0.87166
2634.5269,0.87155
2634.7678,0.87113
2635.009,0.87056
2635.25,0.87007
2635.4912,0.86978
2635.7322,0.86962
2635.9731,0.86947
2636.2144,0.86929
2636.4553,0.86912
2636.6963,0.86907
2636.9375,0.8692
2637.1785,0.86949
2637.4197,0.86985
2637.6606,0.87016
2637.9016,0.87026
2638.1428,0.87004
2638.3838,0.8696
2638.6248,0.86917
2638.866,0.86907
2639.1069,0.86938
2639.3481,0.86983
2639.5891,0.86998
2639.8301,0.86962
2640.0713,0.86895
2640.3123,0.86849
2640.5532,0.8686
2640.7944,0.86918
2641.0354,0.86972
2641.2766,0.86974
2641.5176,0.86918
2641.7585,0.86842
2641.9998,0.86789
2642.2407,0.86777
2642.4817,0.86781
2642.7229,0.86769
2642.9639,0.86726
2643.2051,0.86663
2643.446,0.86603
2643.687,0.86555
2643.9282,0.86519
2644.1692,0.86484
2644.4102,0.86448
2644.6514,0.86413
2644.8923,0.86375
2645.1335,0.86326
2645.3745,0.86251
2645.6155,0.86154
2645.8567,0.86049
2646.0977,0.85947
2646.3386,0.85854
2646.5798,0.8576
2646.8208,0.85652
2647.062,0.85533
2647.303,0.85414
2647.5439,0.853
2647.7852,0.85183
2648.0261,0.85042
2648.2671,0.8486
2648.5083,0.84649
2648.7493,0.8444
2648.9905,0.84266
2649.2314,0.84137
2649.4724,0.84031
2649.7136,0.83913
2649.9546,0.83769
2650.1956,0.83602
2650.4368,0.83431
2650.6777,0.83265
2650.9189,0.83098
2651.1599,0.82919
2651.4009,0.82725
2651.6421,0.82526
2651.8831,0.82331
2652.124,0.82141
2652.3652,0.81944
2652.6062,0.81729
2652.8474,0.81493
2653.0884,0.81242
2653.3293,0.80991
2653.5706,0.80753
2653.8115,0.80537
2654.0525,0.80344
2654.2937,0.80161
2654.5347,0.79966
2654.7759,0.79738
2655.0168,0.79477
2655.2578,0.79206
2655.499,0.78955
2655.74,0.78739
2655.981,0.78539
2656.2222,0.78319
2656.4631,0.78055
2656.7043,0.77752
2656.9453,0.77445
2657.1863,0.77165
2657.4275,0.76917
2657.6685,0.76678
2657.9094,0.7642
2658.1506,0.7613
2658.3916,0.7582
2658.6328,0.75521
2658.8738,0.75255
2659.1147,0.75021
2659.356,0.74797
2659.5969,0.74555
2659.8379,0.7428
2660.0791,0.73986
2660.3201,0.7371
2660.5613,0.73476
2660.8022,0.73282
2661.0432,0.73092
2661.2844,0.72868
2661.5254,0.72598
2661.7664,0.72309
2662.0076,0.72043
2662.2485,0.71828
2662.4897,0.71653
2662.7307,0.71488
2662.9717,0.71308
2663.2129,0.71112
2663.4539,0.70918
2663.6948,0.70749
2663.936,0.70615
2664.177,0.70514
2664.4182,0.7044
2664.6592,0.70383
2664.9001,0.70336
2665.1414,0.70293
2665.3823,0.70255
2665.6233,0.70226
2665.8645,0.70209
2666.1055,0.70202
2666.3467,0.70196
2666.5876,0.7019
2666.8286,0.70196
2667.0698,0.70232
2667.3108,0.70307
2667.5518,0.70403
2667.793,0.70494
2668.0339,0.7056
2668.2751,0.70613
2668.5161,0.70685
2668.7571,0.70808
2668.9983,0.70983
2669.2393,0.71181
2669.4802,0.71367
2669.7214,0.71525
2669.9624,0.71669
2670.2036,0.71831
2670.4446,0.72036
2670.6855,0.72281
2670.9268,0.72539
2671.1677,0.72776
2671.4087,0.72977
2671.6499,0.7316
2671.8909,0.73363
2672.1321,0.73609
2672.373,0.7389
2672.614,0.74172
2672.8552,0.74425
2673.0962,0.74653
2673.3372,0.74895
2673.5784,0.7519
2673.8193,0.75545
2674.0605,0.75924
2674.3015,0.76276
2674.5425,0.76575
2674.7837,0.76837
2675.0247,0.77105
2675.2656,0.77415
2675.5068,0.77772
2675.7478,0.78154
2675.989,0.78533
2676.23,0.78894
2676.4709,0.79245
2676.7122,0.79602
2676.9531,0.79982
2677.1941,0.80388
2677.4353,0.8081
2677.6763,0.81228
2677.9175,0.81624
2678.1584,0.81997
2678.3994,0.82363
2678.6406,0.82745
2678.8816,0.83161
2679.1226,0.83603
