Freq_ax,HBQ,freq,dmso
418.84424,899.44111,418.84424,930.6605
421.00323,898.62565,421.00323,665.2989
423.16222,689.98158,423.16222,583.5836
425.32121,762.33549,425.32121,814.33819
427.4802,733.18604,427.4802,798.93232
429.63919,726.75156,429.63919,633.50487
431.79818,798.72124,431.79818,647.00766
433.95717,770.201,433.95717,632.11774
436.11616,815.43114,436.11616,582.17795
438.27515,816.59164,438.27515,658.75054
440.43415,769.50435,440.43415,633.41415
442.59314,739.65923,442.59314,558.76259
444.75213,629.61784,444.75213,669.42125
446.91112,671.23946,446.91112,670.07491
449.07011,748.47098,449.07011,632.64268
451.2291,708.91078,451.2291,833.51253
453.38809,719.3169,453.38809,933.96217
455.54708,698.99096,455.54708,729.31008
457.70607,670.7596,457.70607,635.86246
459.86506,666.08875,459.86506,697.10609
462.02405,650.31729,462.02405,661.34348
464.18305,697.99831,464.18305,591.7898
466.34204,800.54946,466.34204,603.12349
468.50103,830.72845,468.50103,631.72405
470.66002,798.62558,470.66002,640.6073
472.81901,737.08141,472.81901,570.60608
474.978,695.57992,474.978,557.5878
477.13699,812.64244,477.13699,568.70326
479.29598,709.04849,479.29598,554.34812
481.45497,754.95996,481.45497,575.16831
483.61396,957.00458,483.61396,637.26372
485.77295,842.48824,485.77295,637.4293
487.93195,872.38595,487.93195,673.86175
490.09094,874.67027,490.09094,624.04553
492.24993,837.65006,492.24993,598.15752
494.40892,804.48059,494.40892,632.02645
496.56791,695.9384,496.56791,632.99372
498.7269,841.36032,498.7269,730.76618
500.88589,834.26576,500.88589,862.46567
503.04488,738.98769,503.04488,795.24529
505.20387,768.80099,505.20387,607.82652
507.36286,836.03539,507.36286,585.14183
509.52185,800.04816,509.52185,625.84273
511.68085,731.88633,511.68085,588.75353
513.83984,688.67084,513.83984,622.55817
515.99883,874.78747,515.99883,640.44658
518.15782,900.06353,518.15782,673.00086
520.31681,689.84818,520.31681,770.32402
522.4758,903.99354,522.4758,802.81906
524.63479,773.86957,524.63479,723.2688
526.79378,844.47571,526.79378,665.15699
528.95277,1019.9528,528.95277,661.14579
531.11176,850.92066,531.11176,662.88294
533.27075,731.7764,533.27075,648.83684
535.42975,774.62677,535.42975,717.73097
537.58874,796.30881,537.58874,748.20248
539.74773,717.87595,539.74773,674.253
541.90672,847.81851,541.90672,636.93705
544.06571,861.94332,544.06571,735.82285
546.2247,703.41444,546.2247,757.72422
548.38369,757.30453,548.38369,644.57202
550.54268,762.27217,550.54268,568.73974
552.70167,719.39215,552.70167,554.2641
554.86066,713.65479,554.86066,560.8917
557.01965,712.50773,557.01965,586.12689
559.17865,648.57324,559.17865,623.94901
561.33764,753.43567,561.33764,655.60412
563.49663,891.41787,563.49663,730.47627
565.65562,878.56898,565.65562,770.61282
567.81461,679.12712,567.81461,730.54751
569.9736,768.47726,569.9736,627.4083
572.13259,899.37982,572.13259,596.4688
574.29158,881.54783,574.29158,637.87664
576.45057,958.54255,576.45057,655.54291
578.60956,933.30718,578.60956,645.0432
580.76855,813.29947,580.76855,625.63716
582.92755,740.99939,582.92755,581.94536
585.08654,703.7819,585.08654,565.42104
587.24553,914.45824,587.24553,647.24481
589.40452,1001.90694,589.40452,773.37574
591.56351,798.91073,591.56351,816.20498
593.7225,742.80963,593.7225,733.02133
595.88149,765.78576,595.88149,655.67941
598.04048,836.7769,598.04048,707.62905
600.19947,879.75185,600.19947,831.30808
602.35846,725.89747,602.35846,893.56188
604.51745,715.2573,604.51745,859.86621
606.67644,787.09692,606.67644,826.47734
608.83544,923.56519,608.83544,862.42008
610.99443,783.28484,610.99443,876.34699
613.15342,932.16091,613.15342,939.14587
615.31241,953.87484,615.31241,980.47173
617.4714,727.88144,617.4714,917.85133
619.63039,826.34603,619.63039,912.25965
621.78938,706.08964,621.78938,1007.14581
623.94837,820.6286,623.94837,989.28912
626.10736,823.22459,626.10736,793.74763
628.26635,675.48139,628.26635,643.18049
630.42534,713.64158,630.42534,617.26057
632.58434,898.29536,632.58434,580.07298
634.74333,945.9844,634.74333,600.81573
636.90232,761.9071,636.90232,615.76923
639.06131,670.5687,639.06131,607.77534
641.2203,723.28003,641.2203,713.00972
643.37929,707.38196,643.37929,813.18974
645.53828,721.67933,645.53828,710.55769
647.69727,713.75002,647.69727,593.03966
649.85626,697.79302,649.85626,627.94693
652.01525,753.61203,652.01525,625.03722
654.17424,753.59475,654.17424,590.7486
656.33324,735.92243,656.33324,674.58741
658.49223,661.0703,658.49223,692.05426
660.65122,680.58925,660.65122,606.20094
662.81021,773.88226,662.81021,619.36817
664.9692,798.66903,664.9692,753.34202
667.12819,910.09182,667.12819,764.2657
669.28718,970.67564,669.28718,709.31886
671.44617,799.32525,671.44617,719.61278
673.60516,753.87722,673.60516,716.45778
675.76415,835.57639,675.76415,747.71072
677.92314,710.39621,677.92314,826.02529
680.08214,700.38231,680.08214,822.9763
682.24113,647.27941,682.24113,801.25385
684.40012,717.17745,684.40012,795.86914
686.55911,820.84387,686.55911,767.48031
688.7181,779.90772,688.7181,709.20239
690.87709,952.86754,690.87709,666.91534
693.03608,935.72146,693.03608,687.511
695.19507,782.60181,695.19507,714.7779
697.35406,850.21365,697.35406,676.90221
699.51305,719.84848,699.51305,657.19264
701.67204,755.69954,701.67204,700.24083
703.83104,865.98483,703.83104,686.49794
705.99003,889.45279,705.99003,634.81604
708.14902,793.17224,708.14902,603.10524
710.30801,716.33124,710.30801,658.14188
712.467,801.66689,712.467,721.84445
714.62599,735.17611,714.62599,733.83605
716.78498,763.46384,716.78498,729.15374
